,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,CITY,STATE,School Name,REGION,Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary
26,717943,2249.0,236.57,2.89,15.52,252.17,1014.76,66.81,Boston,Massachusetts,Suffolk-University,Northeastern,42100.00,74000.00,145000.00
27,326527,1023.0,171.18,2.82,13.32,182.47,707.02,50.03,Detroit,Michigan,Wayne-State-University,Midwestern,42800.00,76100.00,139000.00
28,376148,1178.0,151.23,2.96,15.26,161.21,770.83,51.52,Las Vegas,Nevada,"University-of-Nevada,-Las-Vegas-(UNLV)",Western,45200.00,71600.00,128000.00
29,299808,939.17,169.0,2.38,14.02,180.15,628.96,47.2,Birmingham,Alabama,University-of-Alabama-at-Birmingham-(UAB),Southern,39200.00,70100.00,125000.00
30,343530,1076.0,179.56,3.4,15.79,191.41,884.91,49.77,Olympia,Washington,Evergreen-State-College,Western,39500.00,63900.00,120000.00
31,268231,840.25,144.19,2.68,16.71,153.7,875.16,52.91,St. Cloud,Minnesota,St.-Cloud-State-University,Midwestern,41800.00,71400.00,126000.00
32,363656,1139.0,152.74,2.82,15.65,162.81,784.34,55.07,Minneapolis,Minnesota,St.-Olaf-College,Midwestern,45300.00,86200.00,185000.00
33,308136,965.26,144.02,2.4,13.84,153.52,755.06,48.48,Omaha,Nebraska,University-of-Nebraska-at-Omaha,Midwestern,41500.00,72600.00,126000.00
34,788384,2470.0,180.74,3.42,16.45,192.66,824.87,54.97,Los Angeles,California,Occidental-College,California,51900.00,105000.00,
35,788384,2470.0,180.74,3.42,16.45,192.66,824.87,54.97,Los Angeles,California,University-of-California-at-Los-Angeles-(UCLA),California,52600.00,101000.00,193000.00
36,788384,2470.0,180.74,3.42,16.45,192.66,824.87,54.97,Los Angeles,California,University-of-Southern-California-(USC),California,54800.00,99600.00,201000.00
37,475397,1489.0,181.74,2.76,18.83,193.73,875.16,63.1,West Haven,Connecticut,University-of-New-Haven,Northeastern,44400.00,82900.00,157000.00
38,572175,1792.0,175.54,2.68,16.32,187.12,759.56,54.56,Oberlin,Ohio,Oberlin-College,Midwestern,43400.00,81600.00,
39,316117,990.26,199.01,2.7,15.21,212.14,740.06,48.74,Gainesville,Florida,University-of-Florida-(UF),Southern,47100.00,87900.00,172000.00
40,364003,1140.0,174.87,2.59,13.93,186.4,759.56,52.65,Dallas,Texas,Dallas-Baptist-University,Southern,39400.00,60200.00,98100.00
