,Name,Rank,Tuition and fees,City,State
199,University of Colorado--Denver,197,"$29,334 ",Denver, CO
200,University of Nevada--Reno,197,"$21,052 ",Reno, NV
201,California State University--Fullerton,202,"$17,596 ",Fullerton, CA
202,Central Michigan University,202,"$23,670 ",Mount Pleasant, MI
203,Louisiana Tech University,202,"$25,851 ",Ruston, LA
204,South Dakota State University,202,"$11,403 ",Brookings, SD
205,University of Alaska--Fairbanks,202,"$22,469 ",Fairbanks, AK
206,University of North Carolina--Charlotte,202,"$20,193 ",Charlotte, NC
207,University of North Dakota,202,"$18,899 ",Grand Forks, ND
208,University of South Dakota,202,"$11,688 ",Vermillion, SD
209,East Carolina University,210,"$22,904 ",Greenville, NC
210,Montana State University,210,"$23,042 ",Bozeman, MT
211,Old Dominion University,210,"$27,028 ",Norfolk, VA
212,University of Missouri--Kansas City,210,"$22,714 ",Kansas City, MO
213,Ashland University,214,"$20,392 ",Ashland, OH
214,Dallas Baptist University,214,"$26,180 ",Dallas, TX
215,Northern Illinois University,214,"$23,799 ",DeKalb, IL
216,Nova Southeastern University,214,"$27,660 ",Ft. Lauderdale, FL
217,Southern Illinois University--Carbondale,214,"$27,130 ",Carbondale, IL
218,University of Montana,214,"$24,562 ",Missoula, MT
219,Benedictine University,220,"$32,170 ",Lisle, IL
220,California State University--Fresno,220,"$17,209 ",Fresno, CA
221,Gardner-Webb University,220,"$29,850 ",Boiling Springs, NC
222,New Mexico State University,220,"$21,234 ",Las Cruces, NM
223,Shenandoah University,220,"$31,322 ",Winchester, VA
224,Tennessee Technological University,220,"$24,800 ",Cookeville, TN
225,University of Massachusetts--Boston,220,"$32,023 ",Boston, MA
226,University of Massachusetts--Dartmouth,220,"$19,270 ",North Dartmouth, MA
227,University of Missouri--St. Louis,220,"$26,277 ",St. Louis, MO
228,University of North Carolina--Greensboro,220,"$21,595 ",Greensboro, NC
229,University of Southern Mississippi,220,"$16,094 ",Hattiesburg, MS
230,Utah State University,220,"$19,772 ",Logan, UT
