web-scraper-order,web-scraper-start-url,home,rent,energy,phone,gas,bread,milk,eggs,bananas,hamburger,doctor,dentist,optometrist,drug,veterinary
1570330495-49,https://www.payscale.com/cost-of-living-calculator/New_York-Hempstead,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330706-148,https://www.payscale.com/cost-of-living-calculator/Virginia-Charlottesville,"$376,495 ","$1,179 / month",$159.11 / month,$169.61 / month,$2.24 / gallon,$3.52 ,$2.05 ,$1.91 ,$3.55 ,$4.49 ,$122.33 ,$105.10 ,$114.63 ,$487.31 ,$59.86 
1570330576-87,https://www.payscale.com/cost-of-living-calculator/Virginia-Virginia-Beach,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330727-158,https://www.payscale.com/cost-of-living-calculator/Kansas-Pittsburg,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330497-50,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Lancaster,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330791-188,https://www.payscale.com/cost-of-living-calculator/North_Dakota-Fargo,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330625-110,https://www.payscale.com/cost-of-living-calculator/Florida-Tallahassee,"$315,423 ",$988.08 / month,$144.36 / month,$153.88 / month,$2.43 / gallon,$3.66 ,$2.13 ,$1.99 ,$3.69 ,$4.66 ,$109.05 ,$93.68 ,$102.18 ,$434.39 ,$51.06 
1570330793-189,https://www.payscale.com/cost-of-living-calculator/Ohio-Springfield,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330419-13,https://www.payscale.com/cost-of-living-calculator/Rhode_Island-Bris,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330518-60,https://www.payscale.com/cost-of-living-calculator/Connecticut-Middletown,"$616,230 ","$1,930 / month",$161.62 / month,$172.29 / month,$2.94 / gallon,$3.35 ,$1.95 ,$1.82 ,$3.38 ,$4.27 ,$125.77 ,$108.04 ,$117.85 ,$500.98 ,$60.58 
1570330874-227,https://www.payscale.com/cost-of-living-calculator/Washington-Cheney,"$336,194 ","$1,053 / month",$126.75 / month,$135.11 / month,$2.93 / gallon,$3.23 ,$1.88 ,$1.75 ,$3.26 ,$4.11 ,$125.66 ,$107.95 ,$117.74 ,$500.54 ,$50.23 
1570330460-32,https://www.payscale.com/cost-of-living-calculator/Pennsylvania-Chester,"$244,957 ",$767.34 / month,$208.74 / month,$222.51 / month,$3.00 / gallon,$3.87 ,$2.25 ,$2.10 ,$3.90 ,$4.93 ,$117.02 ,$100.53 ,$109.65 ,$466.14 ,$55.18 
1570330618-107,https://www.payscale.com/cost-of-living-calculator/South_Carolina-Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330948-262,https://www.payscale.com/cost-of-living-calculator/California-Dominguez-Hills,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330806-195,https://www.payscale.com/cost-of-living-calculator/Nebraska-Lincoln,"$286,622 ",$897.86 / month,$120.21 / month,$128.14 / month,$2.66 / gallon,$3.20 ,$1.87 ,$1.74 ,$3.23 ,$4.08 ,$113.37 ,$97.39 ,$106.23 ,$451.58 ,$53.22 
1570330650-122,https://www.payscale.com/cost-of-living-calculator/Texas-Beaumont,"$311,953 ",$977.21 / month,$216.11 / month,$230.37 / month,$2.47 / gallon,$2.99 ,$1.74 ,$1.63 ,$3.02 ,$3.81 ,$100.75 ,$86.55 ,$94.40 ,$401.31 ,$50.23 
1570330653-123,https://www.payscale.com/cost-of-living-calculator/Mississippi-University,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330680-136,https://www.payscale.com/cost-of-living-calculator/South_Carolina-Clemson,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330655-124,https://www.payscale.com/cost-of-living-calculator/Tennessee-Cookeville,"$237,695 ",$744.60 / month,$166.99 / month,$178.01 / month,$2.26 / gallon,$2.85 ,$1.66 ,$1.55 ,$2.88 ,$3.63 ,$99.20 ,$85.22 ,$92.95 ,$395.14 ,$51.83 
1570330443-24,https://www.payscale.com/cost-of-living-calculator/New_Jersey-Teaneck,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330697-144,https://www.payscale.com/cost-of-living-calculator/Maryland-College-Park,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330955-265,https://www.payscale.com/cost-of-living-calculator/California-Sacramento,"$474,696 ","$1,487 / month",$149.72 / month,$159.60 / month,$3.20 / gallon,$3.89 ,$2.26 ,$2.11 ,$3.92 ,$4.95 ,$114.81 ,$98.63 ,$107.58 ,$457.32 ,$56.15 
