web-scraper-order,web-scraper-start-url,home,rent,energy,phone,gas,bread,milk,eggs,bananas,hamburger,doctor,dentist,optometrist,drug,veterinary
1570330725-157,https://www.payscale.com/cost-of-living-calculator/Michigan-Grand-Rapids,"$281,764 ",$882.64 / month,$149.55 / month,$159.42 / month,$2.66 / gallon,$3.10 ,$1.81 ,$1.69 ,$3.13 ,$3.95 ,$100.64 ,$86.45 ,$94.30 ,$400.87 ,$48.95 
1570330776-181,https://www.payscale.com/cost-of-living-calculator/South_Dakota-Brookings,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330629-112,https://www.payscale.com/cost-of-living-calculator/North_Carolina-Charlotte,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330885-232,https://www.payscale.com/cost-of-living-calculator/Washington-Bellingham,"$435,485 ","$1,364 / month",$134.80 / month,$143.69 / month,$3.15 / gallon,$3.51 ,$2.04 ,$1.91 ,$3.54 ,$4.46 ,$127.87 ,$109.85 ,$119.82 ,$509.36 ,$58.88 
1570330627-111,https://www.payscale.com/cost-of-living-calculator/Texas-Longview,"$299,114 ",$936.99 / month,$129.94 / month,$138.51 / month,$2.59 / gallon,$3.07 ,$1.79 ,$1.67 ,$3.10 ,$3.91 ,$110.71 ,$95.11 ,$103.74 ,$441.00 ,$49.10 
1570330753-170,https://www.payscale.com/cost-of-living-calculator/Wisconsin-La-Crosse,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330747-167,https://www.payscale.com/cost-of-living-calculator/Missouri-St.-Louis,"$252,269 ",$790.25 / month,$192.31 / month,$204.99 / month,$2.62 / gallon,$3.48 ,$2.03 ,$1.89 ,$3.51 ,$4.43 ,$113.03 ,$97.11 ,$105.92 ,$450.26 ,$49.98 
1570330525-63,https://www.payscale.com/cost-of-living-calculator/Massachusetts-Williamstown,"$426,463 ","$1,336 / month",$173.03 / month,$184.44 / month,$2.67 / gallon,$3.71 ,$2.16 ,$2.01 ,$3.74 ,$4.72 ,$116.58 ,$100.15 ,$109.24 ,$464.37 ,$52.96 
1570330582-90,https://www.payscale.com/cost-of-living-calculator/Tennessee-Clarksville,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330838-210,https://www.payscale.com/cost-of-living-calculator/Wisconsin-Milwaukee,"$325,833 ","$1,021 / month",$179.73 / month,$191.59 / month,$2.49 / gallon,$3.26 ,$1.90 ,$1.77 ,$3.29 ,$4.15 ,$125.55 ,$107.85 ,$117.64 ,$500.09 ,$48.74 
1570330472-38,https://www.payscale.com/cost-of-living-calculator/New_York-Loudonville,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330714-152,https://www.payscale.com/cost-of-living-calculator/Georgia-Atlanta,"$327,568 ","$1,026 / month",$143.01 / month,$152.45 / month,$2.64 / gallon,$3.50 ,$2.04 ,$1.90 ,$3.53 ,$4.46 ,$119.01 ,$102.24 ,$111.52 ,$474.08 ,$52.50 
1570330957-266,https://www.payscale.com/cost-of-living-calculator/California-Santa-Cruz,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330684-138,https://www.payscale.com/cost-of-living-calculator/Louisiana-Baton-Rouge,"$302,584 ",$947.86 / month,$137.65 / month,$146.73 / month,$2.42 / gallon,$3.22 ,$1.88 ,$1.75 ,$3.25 ,$4.10 ,$125.77 ,$108.04 ,$117.85 ,$500.98 ,$54.25 
1570330721-155,https://www.payscale.com/cost-of-living-calculator/Texas-Houston,"$363,656 ","$1,139 / month",$185.43 / month,$197.66 / month,$2.54 / gallon,$2.89 ,$1.68 ,$1.57 ,$2.92 ,$3.68 ,$100.97 ,$86.74 ,$94.61 ,$402.19 ,$48.64 
1570330455-30,https://www.payscale.com/cost-of-living-calculator/Vermont-Burlington,"$509,743 ","$1,597 / month",$199.68 / month,$212.86 / month,$2.92 / gallon,$3.73 ,$2.17 ,$2.03 ,$3.76 ,$4.74 ,$115.69 ,$99.39 ,$108.41 ,$460.85 ,$55.18 
1570330712-151,https://www.payscale.com/cost-of-living-calculator/Virginia-Lexington,"$309,524 ",$969.60 / month,$175.20 / month,$186.76 / month,$2.45 / gallon,$2.95 ,$1.72 ,$1.60 ,$2.98 ,$3.76 ,$109.27 ,$93.87 ,$102.39 ,$435.27 ,$52.45 
1570330508-55,https://www.payscale.com/cost-of-living-calculator/New_York-Poughkeepsie,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330569-84,https://www.payscale.com/cost-of-living-calculator/New_Hampshire-Hanover,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330468-36,https://www.payscale.com/cost-of-living-calculator/New_York-Farmingdale,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330563-81,https://www.payscale.com/cost-of-living-calculator/Connecticut-New-Haven,"$467,409 ","$1,464 / month",$181.74 / month,$193.73 / month,$2.76 / gallon,$4.27 ,$2.49 ,$2.32 ,$4.31 ,$5.44 ,$129.09 ,$110.90 ,$120.96 ,$514.21 ,$63.10 
1570330428-17,https://www.payscale.com/cost-of-living-calculator/Connecticut-Fairfield,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330774-180,https://www.payscale.com/cost-of-living-calculator/Ohio-Athens-Township,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330859-220,https://www.payscale.com/cost-of-living-calculator/Indiana-Notre-Dame,"$67,630 ",$211.86 / month,$149.72 / month,$159.60 / month,$2.40 / gallon,$3.09 ,$1.80 ,$1.68 ,$3.12 ,$3.94 ,$111.48 ,$95.78 ,$104.47 ,$444.09 ,$48.18 
1570330417-12,https://www.payscale.com/cost-of-living-calculator/Maine-Orono,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330481-42,https://www.payscale.com/cost-of-living-calculator/New_York-Syracuse,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330961-268,https://www.payscale.com/cost-of-living-calculator/California-Long-Beach,"$788,384 ","$2,470 / month",$180.74 / month,$192.66 / month,$3.42 / gallon,$3.73 ,$2.17 ,$2.03 ,$3.77 ,$4.75 ,$121.67 ,$104.53 ,$114.01 ,$484.66 ,$54.97 
1570330781-183,https://www.payscale.com/cost-of-living-calculator/Minnesota-Mankato,"$251,228 ",$786.99 / month,$152.57 / month,$162.64 / month,$2.56 / gallon,$3.33 ,$1.94 ,$1.81 ,$3.36 ,$4.24 ,$131.74 ,$113.18 ,$123.45 ,$524.79 ,$53.63 
1570330599-98,https://www.payscale.com/cost-of-living-calculator/North_Carolina-Cullowhee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330693-142,https://www.payscale.com/cost-of-living-calculator/Texas-Austin,"$353,246 ","$1,107 / month",$147.04 / month,$156.74 / month,$2.44 / gallon,$2.92 ,$1.70 ,$1.59 ,$2.95 ,$3.72 ,$110.05 ,$94.54 ,$103.12 ,$438.35 ,$51.88 
1570330512-57,https://www.payscale.com/cost-of-living-calculator/New_York-Vestal,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330699-145,https://www.payscale.com/cost-of-living-calculator/Virginia-Blacksburg,"$229,714 ",$719.59 / month,$197.34 / month,$210.35 / month,$2.30 / gallon,$2.94 ,$1.71 ,$1.60 ,$2.96 ,$3.74 ,$123.00 ,$105.67 ,$115.26 ,$489.95 ,$51.93 
1570330766-176,https://www.payscale.com/cost-of-living-calculator/Michigan-Ypsilanti,"$199,501 ",$624.95 / month,$157.10 / month,$167.46 / month,$2.57 / gallon,$3.67 ,$2.14 ,$2.00 ,$3.71 ,$4.68 ,$137.94 ,$118.51 ,$129.26 ,$549.49 ,$48.90 
1570330521-61,https://www.payscale.com/cost-of-living-calculator/New_York-Bronx,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330870-225,https://www.payscale.com/cost-of-living-calculator/Idaho-Boise,"$305,013 ",$955.47 / month,$143.68 / month,$153.16 / month,$2.81 / gallon,$2.98 ,$1.74 ,$1.62 ,$3.01 ,$3.79 ,$114.47 ,$98.34 ,$107.27 ,$455.99 ,$48.07 
1570330539-70,https://www.payscale.com/cost-of-living-calculator/Massachusetts-Amherst,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1570330573-86,https://www.payscale.com/cost-of-living-calculator/Tennessee-Cleveland,"$252,963 ",$792.42 / month,$154.41 / month,$164.60 / month,$2.27 / gallon,$3.48 ,$2.03 ,$1.89 ,$3.51 ,$4.44 ,$94.21 ,$80.94 ,$88.28 ,$375.29 ,$45.76 
1570330631-113,https://www.payscale.com/cost-of-living-calculator/Arkansas-Monticello,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
