,School Name,Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION
27,Wayne State University,42800.0,76100.0,139000.0,326527.0,1023.0,171.18,2.82,13.32,182.47,707.02,50.03,Midwestern
28,"University of Nevada, Las Vegas (UNLV)",45200.0,71600.0,128000.0,376148.0,1178.0,151.23,2.96,15.260000000000002,161.21,770.83,51.52,Western
29,University of Alabama at Birmingham (UAB),39200.0,70100.0,125000.0,299808.0,939.17,169.0,2.38,14.02,180.15,628.96,47.2,Southern
30,Evergreen State College,39500.0,63900.0,120000.0,343530.0,1076.0,179.56,3.4,15.79,191.41,884.9100000000002,49.77,Western
31,St. Cloud State University,41800.0,71400.0,126000.0,268231.0,840.25,144.19,2.68,16.71,153.7,875.1600000000002,52.91,Midwestern
32,St. Olaf College,45300.0,86200.0,185000.0,363656.0,1139.0,152.74,2.82,15.65,162.81,784.34,55.07,Midwestern
33,University of Nebraska at Omaha,41500.0,72600.0,126000.0,308136.0,965.26,144.02,2.4,13.84,153.52,755.06,48.48,Midwestern
35,University of California at Los Angeles (UCLA),52600.0,101000.0,193000.0,788384.0,2470.0,180.74,3.42,16.45,192.66,824.87,54.97,California
36,University of Southern California (USC),54800.0,99600.0,201000.0,788384.0,2470.0,180.74,3.42,16.45,192.66,824.87,54.97,California
37,University of New Haven,44400.0,82900.0,157000.0,475397.0,1489.0,181.74,2.76,18.83,193.73,875.1600000000002,63.1,Northeastern
39,University of Florida (UF),47100.0,87900.0,172000.0,316117.0,990.26,199.01,2.7,15.21,212.14,740.06,48.74,Southern
40,Dallas Baptist University,39400.0,60200.0,98100.0,364003.0,1140.0,174.87,2.59,13.93,186.4,759.5600000000002,52.65,Southern
43,Lewis & Clark College,38900.0,72600.0,140000.0,620783.0,1945.0,130.77,2.78,16.91,139.4,803.85,60.53,Western
44,Portland State University (PSU),42600.0,70900.0,123000.0,620783.0,1945.0,130.77,2.78,16.91,139.4,803.85,60.53,Western
45,Michigan State University (MSU),46300.0,85300.0,170000.0,580412.0,1818.0,168.83,2.59,13.53,179.97,737.05,47.82,Midwestern
46,"Indiana University (IU), Bloomington",46300.0,84000.0,178000.0,304319.0,953.3,159.11,2.63,14.1,169.61,661.24,53.37,Midwestern
47,Virginia Commonwealth University (VCU),42000.0,68400.0,123000.0,307789.0,964.17,178.22,2.4,12.97,189.98,809.8599999999999,52.09,Southern
48,"University of California, Davis",52300.0,99600.0,202000.0,889164.0,2785.0,149.72,3.2,17.13,159.6,778.3399999999998,56.15,California
49,Montana State University   Bozeman,46600.0,77500.0,151000.0,374066.0,1172.0,129.1,2.49,14.94,137.61,773.8299999999998,51.88,Western
50,Jacksonville University,46700.0,66200.0,121000.0,309524.0,969.6,154.58,2.53,14.74,164.78,655.24,50.34,Southern
51,Arizona State University (ASU),47400.0,84100.0,163000.0,391407.0,1226.0,161.12,2.39,14.29,171.75,733.29,48.23,Western
52,Massachusetts Institute of Technology (MIT),72200.0,126000.0,220000.0,1109025.0,3474.0,201.36,2.99,16.27,214.64,901.42,66.24,Northeastern
53,Harvard University,63400.0,124000.0,288000.0,1109025.0,3474.0,201.36,2.99,16.27,214.64,901.42,66.24,Northeastern
54,University of Texas at San Antonio (UTSA),42500.0,70700.0,121000.0,262332.0,821.77,147.04,2.31,12.14,156.74,681.51,48.74,Southern
55,Purdue University,51400.0,90500.0,168000.0,354160.0,1109.0,179.9,2.54,14.2,191.77,703.28,49.36,Midwestern
56,Texas Christian University (TCU),45100.0,78100.0,183000.0,327915.0,1027.0,168.67,2.74,13.61,179.79,732.55,57.54,Southern
57,Auburn University,45400.0,84700.0,145000.0,258515.0,809.81,173.53,2.34,14.99,184.98,640.23,52.09,Southern
58,University of Missouri   Kansas City (UMKC),38900.0,65800.0,124000.0,319587.0,1001.0,180.74,2.57,14.71,192.66,742.3,53.48,Midwestern
59,Davenport University,39700.0,46600.0,85700.0,281764.0,882.64,149.55,2.66,13.68,159.42,682.26,48.95,Midwestern
60,Western Washington University,42700.0,75400.0,119000.0,435485.0,1364.0,134.8,3.15,15.46,143.69,866.9,58.88,Western
61,LeTourneau University,49500.0,73800.0,126000.0,299114.0,936.99,129.94,2.59,13.54,138.51,750.56,49.1,Southern
62,University of Missouri   St. Louis (UMSL),41400.0,67100.0,144000.0,252269.0,790.25,192.31,2.62,15.34,204.99,766.3199999999998,49.98,Midwestern
64,Marquette University,48500.0,88400.0,184000.0,325833.0,1021.0,179.73,2.49,14.37,191.59,851.1299999999999,48.74,Midwestern
65,University of Wisconsin (UW)   Milwaukee,42300.0,74600.0,123000.0,325833.0,1021.0,179.73,2.49,14.37,191.59,851.1299999999999,48.74,Midwestern
66,Georgia Institute of Technology,58300.0,106000.0,183000.0,327568.0,1026.0,143.01,2.64,15.43,152.45,806.8499999999998,52.5,Southern
67,Emory University,52000.0,91600.0,192000.0,327568.0,1026.0,143.01,2.64,15.43,152.45,806.8499999999998,52.5,Southern
68,Georgia State University,41800.0,74000.0,145000.0,327568.0,1026.0,143.01,2.64,15.43,152.45,806.8499999999998,52.5,Southern
69,Louisiana State University (LSU),46900.0,87800.0,165000.0,302584.0,947.86,137.65,2.42,14.2,146.73,852.64,54.25,Southern
70,Rice University,64000.0,110000.0,216000.0,363656.0,1139.0,185.43,2.54,12.74,197.66,684.51,48.64,Southern
71,University of Houston (UH),46000.0,79900.0,141000.0,363656.0,1139.0,185.43,2.54,12.74,197.66,684.51,48.64,Southern
72,University of Vermont (UVM),44800.0,82700.0,194000.0,509743.0,1597.0,199.68,2.92,16.43,212.86,784.34,55.18,Northeastern
74,Yale University,59100.0,126000.0,326000.0,467409.0,1464.0,181.74,2.76,18.83,193.73,875.1600000000002,63.1,Northeastern
75,University of Notre Dame,56300.0,116000.0,235000.0,67630.0,211.86,149.72,2.4,13.63,159.6,755.8199999999998,48.18,Midwestern
76,"California State University, Long Beach (CSULB)",45100.0,84700.0,154000.0,788384.0,2470.0,180.74,3.42,16.45,192.66,824.87,54.97,California
77,Minnesota State University   Mankato,43300.0,74700.0,140000.0,251228.0,786.99,152.57,2.56,14.68,162.64,893.16,53.63,Midwestern
78,University of Texas (UT)   Austin,49700.0,93900.0,188000.0,353246.0,1107.0,147.04,2.44,12.88,156.74,746.0600000000002,51.88,Southern
79,Virginia Polytechnic Institute and State University (Virginia Tech),53500.0,95400.0,163000.0,229714.0,719.59,197.34,2.3,12.95,210.35,833.88,51.93,Southern
80,Eastern Michigan University,40300.0,72100.0,135000.0,199501.0,624.95,157.1,2.57,16.2,167.46,935.2,48.9,Midwestern
81,Boise State University (BSU),40800.0,69500.0,110000.0,305013.0,955.47,143.68,2.81,13.14,153.16,776.0699999999998,48.07,Western
83,University of Massachusetts (UMass)   Lowell,45400.0,86600.0,158000.0,448032.0,1403.0,201.36,2.99,16.27,214.64,901.42,66.24,Northeastern
84,University of Southern Maine,39400.0,63600.0,117000.0,433403.0,1358.0,195.49,2.82,14.73,208.39,808.35,56.77,Northeastern
85,San Jose State University (SJSU),53500.0,95600.0,156000.0,860907.0,2697.0,210.75,2.91,17.72,224.65,871.39,55.07,California
86,Colorado School of Mines,58100.0,106000.0,201000.0,544805.0,1707.0,156.76,2.75,14.37,167.1,790.34,55.28,Western
87,Vanderbilt University,51200.0,104000.0,222000.0,316117.0,990.26,150.73,2.62,14.23,160.67,613.21,53.37,Southern
88,Case Western Reserve University,56200.0,96500.0,168000.0,306401.0,959.82,175.54,2.68,16.32,187.12,759.5600000000002,54.56,Midwestern
89,Cleveland State University,43500.0,73100.0,137000.0,306401.0,959.82,175.54,2.68,16.32,187.12,759.5600000000002,54.56,Midwestern
90,University of Wisconsin (UW)   Eau Claire,41400.0,64800.0,125000.0,274824.0,860.9,161.62,2.85,14.16,172.29,830.8800000000001,52.4,Midwestern
93,Western Michigan University (WMU),42300.0,73800.0,135000.0,210282.0,658.72,145.03,2.61,11.83,154.59,680.01,43.9,Midwestern
94,Bradley University,47000.0,87300.0,151000.0,305360.0,956.56,165.98,2.7,13.56,176.93,736.3,55.02,Midwestern
95,Fitchburg State College,42400.0,72600.0,151000.0,417441.0,1308.0,213.6,2.56,14.62,227.69,886.4100000000002,61.97,Northeastern
96,Tusculum College,36900.0,55500.0,124000.0,165415.0,518.17,150.73,2.62,14.23,160.67,613.21,53.37,Southern
97,Ohio State University (OSU),44900.0,83700.0,162000.0,266496.0,834.82,130.27,2.53,14.510000000000002,138.87,691.26,50.13,Midwestern
98,"University of Alabama, Tuscaloosa",41300.0,81400.0,161000.0,271354.0,850.03,183.92,2.57,15.38,196.06,676.25,61.04,Southern
99,University of Pennsylvania,60900.0,120000.0,282000.0,449365.0,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
100,Drexel University,53400.0,93500.0,161000.0,449365.0,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
101,Pennsylvania State University (PSU),49900.0,85700.0,160000.0,449365.0,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
102,La Salle University (Philadelphia),43400.0,84700.0,151000.0,449365.0,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
103,Philadelphia University,45100.0,80300.0,141000.0,449365.0,1408.0,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
105,University of Tennessee,43800.0,74600.0,153000.0,249146.0,780.47,150.06,2.19,12.63,159.95,655.99,44.01,Southern
106,University of Illinois at Urbana Champaign (UIUC),52900.0,96100.0,177000.0,266496.0,834.82,190.29,2.52,13.37,202.85,708.52,48.43,Midwestern
107,University of Wyoming (UW),44500.0,78700.0,145000.0,284193.0,890.25,183.25,2.47,16.04,195.34,740.06,49.72,Western
108,University of Memphis (U of M),41400.0,69700.0,127000.0,228326.0,715.25,173.03,2.33,13.37,184.44,636.47,44.62,Southern
109,Northern Illinois University (NIU),43600.0,80800.0,161000.0,341022.0,1068.0,140.67,2.91,14.94,149.95,815.11,49.46,Midwestern
110,Worcester Polytechnic Institute (WPI),61000.0,114000.0,180000.0,426457.0,1336.0,213.6,2.56,14.62,227.69,886.4100000000002,61.97,Northeastern
112,Florida International University (FIU),43200.0,75500.0,136000.0,498986.0,1563.0,165.31,2.93,15.47,176.22,728.05,52.19,Southern
113,University of Hawaii,43800.0,76000.0,128000.0,1046899.0,3279.0,316.71,3.52,23.770000000000003,337.6,869.8900000000001,66.55,Western
115,University of Texas at Arlington (UTA),45400.0,80800.0,138000.0,345219.0,1081.0,168.67,2.74,13.61,179.79,732.55,57.54,Southern
116,University of Central Florida (UCF),42600.0,71700.0,125000.0,308483.0,966.34,186.44,2.45,14.99,198.74,662.0,48.69,Southern
117,Brigham Young University (BYU),49400.0,88600.0,164000.0,348388.0,1091.0,121.72,2.66,14.68,129.75,832.38,51.37,Western
119,University of Kentucky (UK),42800.0,78300.0,149000.0,320975.0,1005.0,149.55,2.47,13.400000000000002,159.42,740.06,52.6,Southern
120,University Of Chicago,53400.0,113000.0,255000.0,539932.0,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Midwestern
121,Illinois Institute of Technology (IIT),56000.0,97800.0,165000.0,539932.0,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Midwestern
122,DePaul University,46400.0,84800.0,160000.0,539932.0,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Midwestern
123,University of Illinois at Chicago,47500.0,81700.0,146000.0,539932.0,1691.0,151.23,3.3,15.89,161.21,760.32,59.09,Midwestern
124,Florida Metropolitan University (FMU),36600.0,51000.0,102000.0,528481.0,1656.0,166.15,2.82,15.05,177.11,725.8,52.86,Southern
125,University of Tulsa,42400.0,88700.0,197000.0,225203.0,705.46,197.84,2.57,13.89,210.89,684.51,53.22,Southern
126,Missouri State University (MSU),36100.0,69500.0,134000.0,243247.0,761.99,166.65,2.27,14.45,177.65,740.8,48.54,Midwestern
127,Tulane University,49100.0,95800.0,185000.0,351858.0,1102.0,144.69,2.74,14.29,154.24,676.25,50.23,Southern
128,"University of Alaska, Anchorage",45900.0,72600.0,137000.0,510784.0,1600.0,173.7,2.93,18.44,185.15,1079.31,63.21,Western
129,University of Missouri   Columbia,41700.0,81000.0,156000.0,283499.0,888.08,162.97,2.47,14.37,173.72,752.81,49.77,Midwestern
130,Carnegie Mellon University (CMU),61800.0,111000.0,209000.0,317505.0,994.61,184.43,2.78,16.21,196.59,704.03,50.13,Northeastern
131,Duquesne University,40700.0,84400.0,131000.0,317505.0,994.61,184.43,2.78,16.21,196.59,704.03,50.13,Northeastern
133,University of Arkansas,44100.0,82800.0,160000.0,263026.0,823.95,158.61,2.22,13.7,169.07,663.5,50.49,Southern
136,University of South Florida (USF),41100.0,71100.0,131000.0,266843.0,835.9,194.99,2.77,14.68,207.85,737.8,49.93,Southern
137,University of Arizona,47500.0,86100.0,160000.0,277600.0,869.6,151.23,2.52,15.07,161.21,759.5600000000002,52.14,Western
138,University of Maryland Baltimore County (UMBC),47000.0,77800.0,130000.0,509743.0,1597.0,179.56,2.69,15.739999999999998,191.41,687.52,54.4,Southern
139,Iowa State University,45400.0,84600.0,147000.0,331038.0,1037.0,133.63,2.79,13.32,142.44,748.31,46.22,Midwestern
140,Kansas State University (KSU),43300.0,79000.0,138000.0,294256.0,921.78,149.39,2.39,13.84,159.24,710.03,48.79,Midwestern
141,"University of California, San Diego (UCSD)",51100.0,101000.0,177000.0,817185.0,2560.0,192.64,3.36,16.57,205.35,806.8499999999998,52.55,California
142,San Diego State University (SDSU),46200.0,85200.0,158000.0,817185.0,2560.0,192.64,3.36,16.57,205.35,806.8499999999998,52.55,California
143,University of Wisconsin (UW)   Green Bay,35800.0,60600.0,102000.0,281070.0,880.47,172.86,2.62,13.37,184.26,780.5799999999998,47.56,Midwestern
144,University of Michigan,52700.0,93000.0,182000.0,407378.0,1276.0,157.1,2.57,16.2,167.46,935.2,48.9,Midwestern
146,Kent State University,38700.0,62600.0,124000.0,546401.0,1712.0,162.63,2.85,14.9,173.36,631.23,43.29,Midwestern
147,Northwestern University,52700.0,95900.0,205000.0,854777.0,2678.0,151.23,3.3,15.89,161.21,760.32,59.09,Midwestern
148,University of Wisconsin (UW)   Madison,48900.0,87800.0,170000.0,379618.0,1189.0,176.38,2.8,15.11,188.01,918.68,54.61,Midwestern
149,University of Alabama at Huntsville (UAH),43100.0,82700.0,132000.0,258168.0,808.73,183.92,2.49,14.1,196.06,725.05,55.12,Southern
150,University of Washington (UW),48800.0,85300.0,149000.0,673874.0,2111.0,206.39,3.47,18.6,220.0,932.2,69.64,Western
151,Seattle University,48300.0,82800.0,150000.0,673874.0,2111.0,206.39,3.47,18.6,220.0,932.2,69.64,Western
152,"University of California, Berkeley",59900.0,112000.0,201000.0,1128030.0,3534.0,190.46,3.4,18.42,203.03,923.93,62.69,California
153,University of Texas at El Paso (UTEP),43400.0,72100.0,133000.0,271701.0,851.12,155.25,2.66,15.28,165.49,726.55,45.04,Southern
155,Arkansas State University (ASU),38700.0,63300.0,118000.0,257821.0,807.64,146.03,2.26,13.3,155.67,613.21,45.91,Southern
156,University of Virginia (UVA),52700.0,103000.0,215000.0,376495.0,1179.0,159.11,2.24,15.52,169.61,829.37,59.86,Southern
157,Florida State University (FSU),42100.0,73000.0,156000.0,315423.0,988.08,144.36,2.43,16.13,153.88,739.3,51.06,Southern
158,"Wesleyan University (Middletown, Connecticut)",46500.0,97900.0,215000.0,616230.0,1930.0,161.62,2.94,14.77,172.29,852.64,60.58,Northeastern
159,Eastern Washington University,38600.0,70900.0,117000.0,336194.0,1053.0,126.75,2.93,14.23,135.11,851.8900000000001,50.23,Western
160,Widener University,52900.0,83400.0,138000.0,244957.0,767.34,208.74,3.0,17.05,222.51,793.34,55.18,Northeastern
161,University of Nebraska,45700.0,80900.0,156000.0,286622.0,897.86,120.21,2.66,14.12,128.14,768.5699999999998,53.22,Midwestern
162,Lamar University,46500.0,79400.0,158000.0,311953.0,977.21,216.11,2.47,13.19,230.37,683.01,50.23,Southern
163,Tennessee Technological University,46200.0,80000.0,121000.0,237695.0,744.6,166.99,2.26,12.57,178.01,672.51,51.83,Southern
164,"California State University, Sacramento (CSUS)",47800.0,82400.0,154000.0,474696.0,1487.0,149.72,3.2,17.13,159.6,778.3399999999998,56.15,California
